SiteId,AuthorityDensity,WardDensity,WardApproximatedSocialGradeAb,WardApproximatedSocialGradeC1,WardApproximatedSocialGradeC2,WardApproximatedSocialGradeDe,GooglePlaceId,Latitude,Longitude,GoogleRating
79BCEBE2-B7A4-4CFE-8A31-BAFFBE63BFA0,7,8.4,348,700,775,1167,ChIJ3fCys-V6eUgRwmyv5vABZF4,53.5255967,-1.4741692,
1DC06657-4567-4864-BC4F-D3E9F678C692,7,27.9,484,1153,1014,1452,ChIJTbiQK9V6eUgRGnkorXT6SuY,53.554178,-1.482799,
5287E849-537A-4E64-B39A-ECD45EC765AD,7,13.7,509,1006,1022,1253,ChIJ08lqY5pweUgRVPkrR1K3Kh4,53.4943593,-1.4214152,4.3
5CDC55E4-D273-45F1-A8C6-01CC0141F845,24.7,39.4,787,2000,396,1198,ChIJJVV1ScxwfkgR5rEPLH1gGa0,54.9802299,-1.6135582,4.3
F3CF57E0-FA50-4AA9-9E7F-20EF29DFE469,23,36.9,436,917,709,1256,ChIJ_0Zwq-BufkgRamw3nGj11Tg,55.00405,-1.431977,
EC2A121E-9E5D-48F4-BAE8-28F2163C7D1F,14.1,62.4,705,1065,594,1076,ChIJnfgQ3wl6fkgRdurxA8oxpSA,54.9505349,-1.6003062,
A380C58D-9021-478F-9D43-55745F4358EB,24.7,39.4,787,2000,396,1198,ChIJc7o5UchwfkgRQU0pfI0BvRU,54.9749265,-1.6094846,
1C4ED8FA-E3FB-47B0-8724-57070AC78E59,24.4,28.4,615,1427,827,1333,ChIJIw7zOzFwfkgR8AevP-wYJtw,54.9883079,-1.5308406,
8ADF9B44-A0D4-475C-9EA0-5E8232C7D8A4,24.7,39.4,787,2000,396,1198,ChIJTa1GsUt3fkgRTpqImkr_-_8,54.9691867,-1.6247961,4.5
3F5AFA41-D0D4-408F-BBBA-77C034710564,24.7,39.4,787,2000,396,1198,ChIJ0eHlsEt3fkgR53hfXaR57v4,54.9691513,-1.6244871,
B3289DF5-D7EB-4306-BA79-99F3A352E715,24.4,16.8,489,1090,746,1146,ChIJBXQZFT1ufkgREidYFSQVLmw,55.0165385,-1.497309,
92FD98A1-F039-498D-B327-B4A48FB76BCE,24.7,39.4,787,2000,396,1198,ChIJgQ24PcxwfkgRk0skZgcnPDE,54.9795271,-1.614898,
657B0893-DEC5-49A4-8918-D7D2943E9A25,23,36.9,436,917,709,1256,ChIJl80QaeBufkgRGgw0qFPJT0w,54.9986681,-1.4315039,
6581FE95-B8C8-4185-9BD9-E3D20DCF4ED3,0.6,11.3,123,420,396,988,ChIJzQj2ApYNfkgRz6RXqenyT-s,55.1879539,-1.5502514,
62F34946-C810-412D-B50B-E8482BD380A9,1.8,0.6,177,180,97,90,ChIJbR48tDZ730cRM-pAhbCn5xQ,50.842681,0.115592,
41BF9DE6-40C7-412D-B3EE-04F71A97B777,0.8,0.6,137,260,313,233,ChIJLR0ZXQIib0gRjxDF9NlmlrM,52.0258193,-4.3994615,
4659D99B-2269-442F-A322-27D0149622FF,7.2,3.4,211,454,500,692,ChIJ_7QtvVbYcUgRQ0_p6pEFRE0,51.7728102,-3.1051424,4.7
0DEFE16A-F0CE-4385-8CDE-89373729C0AD,24.7,2.9,636,545,221,155,ChIJK4vAG78abkgRue11yBPwT2U,51.4868381,-3.2725846,4.6
12B60FFB-0A65-44E1-BCFF-A4EF71C91453,24.7,60.2,962,3612,355,729,ChIJy34izLscbkgRjrmqq9ULIxA,51.4858995,-3.1775486,4.6
1AD72CFC-EDFD-46D8-AFFE-CE41CD1D17A9,7.6,5.8,791,828,395,354,ChIJg3icZ6nncUgRlbKMbdH82xA,51.6101139,-2.9553492,
DB265452-9B01-408E-8AEC-DEF3E76464AA,6.3,51.6,922,2821,809,2099,ChIJPyhTU0v1bkgRhlqjzzhCN34,51.6168132,-3.9387805,3.8
